posts/post1F.html|/public/tamarind6.jpeg|Rice dishes part 1: Tamarind Rice|A quick recipe for tamarind rice|<a href='/blog/food/'>Food</a>|<a href='/blog/2021/'>September 15, 2021</a>
posts/post3S.html|/public/fernandez.webp|Final thoughts on the 2021 US Open|A quick rundown of the biggest highlights from this tournament|<a href='/blog/sports/'>Sports</a>|<a href='/blog/2021/'>September 13, 2021</a>
posts/post4P.html|/public/puzzler.gif|Solving "The Riddler": September 10th, 2021|In this post, I attempt to solve the <a href='https://fivethirtyeight.com/features/can-you-get-the-paper-cut/' target='_blank'>Riddler</a> puzzles of the week.|<a href='/blog/puzzles/'>Puzzles</a>|<a href='/blog/2021/'>September 10, 2021</a>
posts/post2S.html|img/stefnaomi.webp|Osaka and Tsitsipas: Fan favorites to crowd antagonists?|Understanding why two of the most beloved next-gen players suddenly have the crowd against them.|<a href='/blog/sports/'>Sports</a>|<a href='/blog/2021/'>September 4, 2021</a>
posts/post1S.html|/public/djok.webp|There's no debate: Djokovic is the GOAT|The statistics don't lie: Djokovic is pretty objectively the greatest men's tennis player of all time.|<a href='/blog/sports/'>Sports</a>|<a href='/blog/2021/'>September 2, 2021</a>
posts/post3P.html|/public/puzzler.gif|Solving "The Riddler": August 27th, 2021|In this post, I attempt to solve the <a href='https://fivethirtyeight.com/features/can-you-draft-a-riddler-fantasy-football-dream-team/' target='_blank'>Riddler</a> puzzles of the week.|<a href='/blog/puzzles/'>Puzzles</a>|<a href='/blog/2021/'>August 31, 2021</a>
posts/post2R.html|/public/post2R.jpg|Reviewing the infamous Quake III algorithm|We'll take a look at how evil bit manipulation lead to a fast inverse square root function.|<a href='/blog/reviews/'>Reviews</a>|<a href='/blog/2021/'>August 28, 2021</a>
posts/post1P.html|/public/puzzler.gif|Solving "The Riddler": August 20th, 2021|In this post, I attempt to solve the <a href='https://fivethirtyeight.com/features/can-you-catch-the-cricket/' target='_blank'>Riddler</a> puzzles of the week.|<a href='/blog/puzzles/'>Puzzles</a>|<a href='/blog/2021/'>August 22, 2021</a>
posts/post2O.html|/public/bigu.webp|Proving beautiful diagrams: part 2|Proving a relation from a nice diagram I made|<a href='/blog/other/'>Other</a>|<a href='/blog/2021/'>August 20, 2021</a>
posts/post2P.html|/public/puzzler.gif|Solving "The Riddler": August 13th, 2021|In this post, I attempt to solve the <a href='https://fivethirtyeight.com/features/are-you-clever-enough/' target='_blank'>Riddler</a> puzzles of the week.|<a href='/blog/puzzles/'>Puzzles</a>|<a href='/blog/2021/'>August 17, 2021</a>
posts/post1R.html|/blog/img/post1_image.png|Reviewing "Is Success luck or hard work?"|In this post, I review Derek Muller's "Is Success luck or hard work?" and talk about my perspective on the issue|<a href='/blog/reviews/'>Reviews</a>|<a href='/blog/2021/'>August 10, 2021</a>
posts/post1O.html|/public/bigu.webp|Proving beautiful diagrams: part 1|A proof of a beautiful diagram I found in a blog|<a href='/blog/other/'>Other</a>|<a href='/blog/2021/'>August 2, 2021</a>
